"Education","Male","Female","Total","country","Year"
"Pre-University","36","85","121","Burma",2010
"Primary","1892","2323","4215","Burma",2010
"Professional","19","27","46","Burma",2010
"Secondary","2624","3218","5842","Burma",2010
"Technical School","14","30","44","Burma",2010
"University/College","178","286","464","Burma",2010
"Unknown","51","73","124","Burma",2010
"Bio Data not Complete","233","208","441","Burma",2011
"Graduate School","3","3","6","Burma",2011
"Intermediate","199","207","406","Burma",2011
"Kindergarten","484","529","1013","Burma",2011
"NONE","2044","1975","4019","Burma",2011
"Pre-University","18","43","61","Burma",2011
"Primary","1789","2262","4051","Burma",2011
"Professional","19","20","39","Burma",2011
"Secondary","2171","2921","5092","Burma",2011
"Technical School","16","24","40","Burma",2011
"University/College","178","252","430","Burma",2011
"Unknown","53","62","115","Burma",2011
"Bio Data not Complete","122","121","243","Burma",2012
"Graduate School","7","5","12","Burma",2012
"Intermediate","159","222","381","Burma",2012
"Kindergarten","357","402","759","Burma",2012
"NONE","1960","2050","4010","Burma",2012
"Pre-University","21","34","55","Burma",2012
"Primary","1647","2408","4055","Burma",2012
"Professional","8","16","24","Burma",2012
"Secondary","1986","3010","4996","Burma",2012
"Technical School","11","18","29","Burma",2012
"University/College","160","278","438","Burma",2012
"Unknown","40","70","110","Burma",2012
"Bio Data not Complete","148","117","265","Burma",2013
"Graduate School","5","5","10","Burma",2013
"Intermediate","208","182","390","Burma",2013
"Kindergarten","445","507","952","Burma",2013
"NONE","1762","1766","3528","Burma",2013
"Pre-University","47","35","82","Burma",2013
"Primary","1672","2334","4006","Burma",2013
"Professional","18","10","28","Burma",2013
"Secondary","1863","2597","4460","Burma",2013
"Technical School","13","22","35","Burma",2013
"University/College","155","219","374","Burma",2013
"Unknown","204","246","450","Burma",2013
"Bio Data not Complete","385","386","771","Burma",2014
"Graduate School","2","12","14","Burma",2014
"Intermediate","316","376","692","Burma",2014
"Kindergarten","345","443","788","Burma",2014
"NONE","965","927","1892","Burma",2014
"Pre-University","25","24","49","Burma",2014
"Primary","1931","2613","4544","Burma",2014
"Professional","11","6","17","Burma",2014
"Secondary","1962","2581","4543","Burma",2014
"Technical School","10","16","26","Burma",2014
"University/College","175","209","384","Burma",2014
"Unknown","1135","1116","2251","Burma",2014
"Bio Data not Complete","626","745","1371","Burma",2015
"Graduate School","0","4","4","Burma",2015
"Intermediate","358","485","843","Burma",2015
"Kindergarten","412","455","867","Burma",2015
"NONE","446","403","849","Burma",2015
"Pre-University","20","22","42","Burma",2015
"Primary","2257","2940","5197","Burma",2015
"Professional","4","9","13","Burma",2015
"Secondary","1824","2393","4217","Burma",2015
"Technical School","7","13","20","Burma",2015
"University/College","115","145","260","Burma",2015
"Unknown","1797","2003","3800","Burma",2015
"Bio Data not Complete","636","594","1230","Burma",2016
"Graduate School","0","3","3","Burma",2016
"Intermediate","199","235","434","Burma",2016
"Kindergarten","299","341","640","Burma",2016
"NONE","161","134","295","Burma",2016
"Pre-University","18","9","27","Burma",2016
"Primary","1620","1994","3614","Burma",2016
"Professional","4","8","12","Burma",2016
"Secondary","1136","1250","2386","Burma",2016
"Technical School","12","8","20","Burma",2016
"University/College","61","76","137","Burma",2016
"Unknown","1357","1417","2774","Burma",2016
"Bio Data not Complete","379","445","824","Burma",2017
"Intermediate","97","87","184","Burma",2017
"Kindergarten","94","112","206","Burma",2017
"NONE","20","22","42","Burma",2017
"Pre-University","4","1","5","Burma",2017
"Primary","530","610","1140","Burma",2017
"Professional","0","1","1","Burma",2017
"Secondary","367","376","743","Burma",2017
"Technical School","4","2","6","Burma",2017
"University/College","30","32","62","Burma",2017
"Unknown","244","265","509","Burma",2017
"Bio Data not Complete","586","633","1219","Burma",2018
"Graduate School","0","1","1","Burma",2018
"Intermediate","57","60","117","Burma",2018
"Kindergarten","100","111","211","Burma",2018
"NONE","10","9","19","Burma",2018
"Pre-University","12","7","19","Burma",2018
"Primary","514","655","1169","Burma",2018
"Professional","3","0","3","Burma",2018
"Secondary","404","407","811","Burma",2018
"Technical School","1","1","2","Burma",2018
"University/College","22","30","52","Burma",2018
"Unknown","74","74","148","Burma",2018
"Bio Data not Complete","110","75","185","DRC",2009
"Intermediate","0","1","1","DRC",2009
"Kindergarten","20","15","35","DRC",2009
"NONE","47","26","73","DRC",2009
"Primary","254","227","481","DRC",2009
"Professional","0","6","6","DRC",2009
"Secondary","119","145","264","DRC",2009
"Technical School","6","21","27","DRC",2009
"University/College","15","47","62","DRC",2009
"Bio Data not Complete","91","78","169","DRC",2010
"Intermediate","1","2","3","DRC",2010
"Kindergarten","69","50","119","DRC",2010
"NONE","348","267","615","DRC",2010
"Pre-University","0","1","1","DRC",2010
"Primary","653","607","1260","DRC",2010
"Professional","5","5","10","DRC",2010
"Secondary","311","483","794","DRC",2010
"Technical School","23","35","58","DRC",2010
"University/College","40","89","129","DRC",2010
"Unknown","2","0","2","DRC",2010
"Bio Data not Complete","115","95","210","DRC",2011
"Kindergarten","15","13","28","DRC",2011
"NONE","33","20","53","DRC",2011
"Pre-University","0","2","2","DRC",2011
"Primary","268","200","468","DRC",2011
"Professional","2","3","5","DRC",2011
"Secondary","155","182","337","DRC",2011
"Technical School","10","14","24","DRC",2011
"University/College","22","52","74","DRC",2011
"Unknown","3","2","5","DRC",2011
"Bio Data not Complete","262","172","434","DRC",2012
"Graduate School","0","3","3","DRC",2012
"Intermediate","3","1","4","DRC",2012
"Kindergarten","30","30","60","DRC",2012
"NONE","34","20","54","DRC",2012
"Pre-University","0","1","1","DRC",2012
"Primary","477","351","828","DRC",2012
"Professional","9","7","16","DRC",2012
"Secondary","260","326","586","DRC",2012
"Technical School","18","42","60","DRC",2012
"University/College","32","50","82","DRC",2012
"Unknown","2","2","4","DRC",2012
"Bio Data not Complete","328","238","566","DRC",2013
"Graduate School","0","2","2","DRC",2013
"Intermediate","6","2","8","DRC",2013
"Kindergarten","44","41","85","DRC",2013
"NONE","27","19","46","DRC",2013
"Pre-University","1","1","2","DRC",2013
"Primary","529","466","995","DRC",2013
"Professional","6","4","10","DRC",2013
"Secondary","309","378","687","DRC",2013
"Technical School","31","38","69","DRC",2013
"University/College","30","88","118","DRC",2013
"Unknown","1","3","4","DRC",2013
"Bio Data not Complete","707","482","1189","DRC",2014
"Graduate School","0","2","2","DRC",2014
"Intermediate","2","3","5","DRC",2014
"Kindergarten","75","67","142","DRC",2014
"NONE","22","15","37","DRC",2014
"Primary","1145","1035","2180","DRC",2014
"Professional","9","11","20","DRC",2014
"Secondary","585","702","1287","DRC",2014
"Technical School","39","66","105","DRC",2014
"University/College","44","106","150","DRC",2014
"Unknown","5","6","11","DRC",2014
"Bio Data not Complete","1049","781","1830","DRC",2015
"Graduate School","0","1","1","DRC",2015
"Intermediate","5","9","14","DRC",2015
"Kindergarten","173","173","346","DRC",2015
"NONE","7","5","12","DRC",2015
"Pre-University","1","3","4","DRC",2015
"Primary","1773","1575","3348","DRC",2015
"Professional","12","19","31","DRC",2015
"Secondary","937","1216","2153","DRC",2015
"Technical School","50","89","139","DRC",2015
"University/College","93","228","321","DRC",2015
"Unknown","4","3","7","DRC",2015
"Bio Data not Complete","2781","1909","4690","DRC",2016
"Graduate School","2","11","13","DRC",2016
"Intermediate","10","14","24","DRC",2016
"Kindergarten","477","508","985","DRC",2016
"NONE","10","5","15","DRC",2016
"Pre-University","1","0","1","DRC",2016
"Primary","4247","3876","8123","DRC",2016
"Professional","11","17","28","DRC",2016
"Secondary","2137","3087","5224","DRC",2016
"Technical School","66","111","177","DRC",2016
"University/College","107","432","539","DRC",2016
"Unknown","6","4","10","DRC",2016
"Bio Data not Complete","791","541","1332","DRC",2017
"Graduate School","0","6","6","DRC",2017
"Intermediate","4","7","11","DRC",2017
"Kindergarten","142","134","276","DRC",2017
"Primary","1107","1032","2139","DRC",2017
"Professional","1","2","3","DRC",2017
"Secondary","586","780","1366","DRC",2017
"Technical School","14","28","42","DRC",2017
"University/College","36","135","171","DRC",2017
"Unknown","3","3","6","DRC",2017
"Bio Data not Complete","1378","985","2363","DRC",2018
"Graduate School","0","7","7","DRC",2018
"Intermediate","4","5","9","DRC",2018
"Kindergarten","240","197","437","DRC",2018
"NONE","1","2","3","DRC",2018
"Pre-University","1","0","1","DRC",2018
"Primary","1856","1797","3653","DRC",2018
"Professional","3","9","12","DRC",2018
"Secondary","1057","1398","2455","DRC",2018
"Technical School","25","51","76","DRC",2018
"University/College","78","209","287","DRC",2018
"Unknown","0","2","2","DRC",2018
"Bio Data not Complete","2968","3203","6171","Iraq",2009
"Graduate School","55","99","154","Iraq",2009
"Intermediate","1374","1411","2785","Iraq",2009
"Kindergarten","49","58","107","Iraq",2009
"NONE","200","125","325","Iraq",2009
"Pre-University","7","9","16","Iraq",2009
"Primary","1684","1621","3305","Iraq",2009
"Professional","185","201","386","Iraq",2009
"Secondary","1097","918","2015","Iraq",2009
"Technical School","238","380","618","Iraq",2009
"University/College","1634","1954","3588","Iraq",2009
"Unknown","4","3","7","Iraq",2009
"Bio Data not Complete","1305","1295","2600","Iraq",2010
"Graduate School","55","129","184","Iraq",2010
"Intermediate","1598","1731","3329","Iraq",2010
"Kindergarten","52","72","124","Iraq",2010
"NONE","277","238","515","Iraq",2010
"Pre-University","23","28","51","Iraq",2010
"Primary","1975","2012","3987","Iraq",2010
"Professional","124","124","248","Iraq",2010
"Secondary","1213","1246","2459","Iraq",2010
"Technical School","300","642","942","Iraq",2010
"University/College","1641","2162","3803","Iraq",2010
"Unknown","4","5","9","Iraq",2010
"Bio Data not Complete","458","400","858","Iraq",2011
"Graduate School","18","35","53","Iraq",2011
"Intermediate","586","606","1192","Iraq",2011
"Kindergarten","14","19","33","Iraq",2011
"NONE","120","107","227","Iraq",2011
"Pre-University","7","7","14","Iraq",2011
"Primary","708","676","1384","Iraq",2011
"Professional","34","52","86","Iraq",2011
"Secondary","487","464","951","Iraq",2011
"Technical School","106","184","290","Iraq",2011
"University/College","560","689","1249","Iraq",2011
"Unknown","1","1","2","Iraq",2011
"Bio Data not Complete","1185","1155","2340","Iraq",2012
"Graduate School","69","101","170","Iraq",2012
"Intermediate","1228","1486","2714","Iraq",2012
"Kindergarten","67","67","134","Iraq",2012
"NONE","320","266","586","Iraq",2012
"Pre-University","9","13","22","Iraq",2012
"Primary","1785","1851","3636","Iraq",2012
"Professional","96","117","213","Iraq",2012
"Secondary","1131","1194","2325","Iraq",2012
"Technical School","343","575","918","Iraq",2012
"University/College","1489","1817","3306","Iraq",2012
"Unknown","3","2","5","Iraq",2012
"Bio Data not Complete","1396","1415","2811","Iraq",2013
"Graduate School","77","122","199","Iraq",2013
"Intermediate","1400","1699","3099","Iraq",2013
"Kindergarten","72","64","136","Iraq",2013
"NONE","322","297","619","Iraq",2013
"Pre-University","11","8","19","Iraq",2013
"Primary","1824","1939","3763","Iraq",2013
"Professional","98","111","209","Iraq",2013
"Secondary","1299","1311","2610","Iraq",2013
"Technical School","430","691","1121","Iraq",2013
"University/College","1740","2133","3873","Iraq",2013
"Unknown","63","45","108","Iraq",2013
"Bio Data not Complete","1597","1673","3270","Iraq",2014
"Graduate School","69","128","197","Iraq",2014
"Intermediate","1588","1981","3569","Iraq",2014
"Kindergarten","45","60","105","Iraq",2014
"NONE","230","207","437","Iraq",2014
"Pre-University","9","16","25","Iraq",2014
"Primary","2017","2128","4145","Iraq",2014
"Professional","102","95","197","Iraq",2014
"Secondary","1256","1428","2684","Iraq",2014
"Technical School","521","702","1223","Iraq",2014
"University/College","1890","2148","4038","Iraq",2014
"Unknown","204","243","447","Iraq",2014
"Bio Data not Complete","1052","1034","2086","Iraq",2015
"Graduate School","33","81","114","Iraq",2015
"Intermediate","724","942","1666","Iraq",2015
"Kindergarten","20","20","40","Iraq",2015
"NONE","26","21","47","Iraq",2015
"Pre-University","11","12","23","Iraq",2015
"Primary","1081","1108","2189","Iraq",2015
"Professional","37","38","75","Iraq",2015
"Secondary","595","672","1267","Iraq",2015
"Technical School","265","365","630","Iraq",2015
"University/College","901","1053","1954","Iraq",2015
"Unknown","33","45","78","Iraq",2015
"Bio Data not Complete","1241","1254","2495","Iraq",2016
"Graduate School","39","79","118","Iraq",2016
"Intermediate","886","956","1842","Iraq",2016
"Kindergarten","31","34","65","Iraq",2016
"NONE","5","7","12","Iraq",2016
"Pre-University","30","22","52","Iraq",2016
"Primary","1297","1263","2560","Iraq",2016
"Professional","30","27","57","Iraq",2016
"Secondary","705","693","1398","Iraq",2016
"Technical School","286","351","637","Iraq",2016
"University/College","1028","1048","2076","Iraq",2016
"Unknown","11","9","20","Iraq",2016
"Bio Data not Complete","368","330","698","Iraq",2017
"Graduate School","13","22","35","Iraq",2017
"Intermediate","305","280","585","Iraq",2017
"Kindergarten","8","15","23","Iraq",2017
"NONE","2","0","2","Iraq",2017
"Pre-University","11","11","22","Iraq",2017
"Primary","392","357","749","Iraq",2017
"Professional","8","11","19","Iraq",2017
